keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
amethyst jewellery,expansion,165000,MEDIUM,62,0.63,3.5,gemstone
garnet jewellery,expansion,165000,MEDIUM,54,0.72,3.57,gemstone
emerald jewellery,expansion,135000,HIGH,68,0.92,4.84,gemstone
opal jewellery,expansion,135000,HIGH,95,0.6,2.84,gemstone
aquamarine jewellery,expansion,135000,MEDIUM,49,0.74,3.55,gemstone
peridot jewellery,expansion,135000,MEDIUM,34,0.61,3.24,gemstone
ruby jewellery,expansion,110000,HIGH,77,0.77,4.25,gemstone
sapphire jewellery,expansion,110000,MEDIUM,59,0.75,3.58,gemstone
citrine jewellery,expansion,110000,HIGH,79,0.52,2.99,gemstone
citrine jewelry,expansion,110000,HIGH,79,0.52,2.99,warm_stones
lapis lazuli jewellery,expansion,74000,HIGH,100,0.46,2.03,gemstone
topaz jewellery,expansion,60500,MEDIUM,46,0.64,3.51,gemstone
tanzanite jewellery,expansion,49500,HIGH,100,0.55,3.83,gemstone
emerald ring,expansion,40500,HIGH,100,0.93,3.55,gemstone
sapphire ring,expansion,40500,HIGH,100,0.8,3.19,gemstone
birthstone ring,expansion,40500,HIGH,100,0.81,3.33,birthstone
birthstone ring jewelry,expansion,40500,HIGH,100,0.81,3.33,birthstone
opal ring,expansion,33100,HIGH,100,0.48,1.95,gemstone
blue sapphire jewellery,expansion,33100,HIGH,70,0.73,3.29,gemstone
birthstone necklace,expansion,33100,HIGH,100,1.16,5.59,birthstone
black onyx jewellery,expansion,27100,HIGH,98,0.42,1.75,gemstone
tigers eye jewellery,expansion,27100,HIGH,98,0.34,1.39,gemstone
tiger eye jewelry,expansion,27100,HIGH,98,0.34,1.39,warm_stones
eye of tiger jewelry,expansion,27100,HIGH,98,0.34,1.39,warm_stones
amethyst ring,expansion,22200,HIGH,100,0.54,2.33,gemstone
moonstone jewellery,expansion,22200,HIGH,100,0.52,2.43,gemstone
carnelian jewellery,expansion,22200,HIGH,99,0.48,1.93,gemstone
carnelian jewelry,expansion,22200,HIGH,99,0.48,1.93,warm_stones
jewelry carnelian,expansion,22200,HIGH,99,0.48,1.93,warm_stones
aquamarine ring,expansion,18100,HIGH,100,0.65,2.78,gemstone
moss agate ring,expansion,18100,HIGH,100,0.93,3.25,gemstone
bracelet with birthstones,expansion,18100,HIGH,100,1.08,4.9,gemstone
blue topaz jewellery,expansion,18100,HIGH,100,0.77,4.95,gemstone
necklace emerald,expansion,18100,HIGH,100,1.15,6.37,gemstone
larimar jewellery,expansion,18100,HIGH,100,0.33,1.46,gemstone
birthstone bracelet,expansion,18100,HIGH,100,1.08,4.9,birthstone
kendra scott birthstone bracelet,expansion,18100,HIGH,100,0.66,1.93,birthstone
gemstone jewelry,expansion,14800,HIGH,100,0.74,3.35,gemstone
moss agate engagement ring,expansion,14800,HIGH,100,1.03,3.99,gemstone
peridot ring,expansion,14800,HIGH,100,0.58,2.55,gemstone
garnet ring,expansion,14800,HIGH,100,0.55,2.27,gemstone
birthstone jewellery,expansion,14800,HIGH,100,1.15,4.52,gemstone
moon stone ring,expansion,14800,HIGH,100,0.49,1.97,gemstone
labradorite jewellery,expansion,14800,HIGH,100,0.38,1.33,gemstone
black tourmaline jewellery,expansion,14800,HIGH,100,0.39,1.27,gemstone
birthstone jewelry,expansion,14800,HIGH,100,1.15,4.52,birthstone
sapphire necklace,expansion,12100,HIGH,100,1.08,6.16,gemstone
opal engagement ring,expansion,12100,HIGH,100,0.86,2.91,gemstone
birthstone necklace for mom,expansion,12100,HIGH,100,1.17,6.18,gemstone
amethyst necklace,expansion,12100,HIGH,100,0.7,2.91,gemstone
mothers birthstone ring,expansion,12100,HIGH,100,0.7,3.94,gemstone
mothers birthstone necklace,expansion,12100,HIGH,100,1.17,6.18,gemstone
alexandrite jewellery,expansion,12100,HIGH,100,0.61,2.7,gemstone
aquamarine birthstone jewelry,expansion,12100,MEDIUM,53,0.7,4.38,gemstone
black opal jewellery,expansion,12100,HIGH,100,0.45,2.0,gemstone
birthstone pendant for mom,expansion,12100,HIGH,100,1.17,6.18,birthstone
aquamarine birthstone bracelet,expansion,12100,MEDIUM,53,0.7,4.38,birthstone
birthstone necklace for mum,expansion,12100,HIGH,100,1.17,6.18,birthstone
mother's necklace birthstones,expansion,12100,HIGH,100,1.17,6.18,birthstone
birthstone mother's necklace,expansion,12100,HIGH,100,1.17,6.18,birthstone
mom birthstone pendant,expansion,12100,HIGH,100,1.17,6.18,birthstone
gemstone ring,expansion,9900,HIGH,100,0.63,2.13,gemstone
blue sapphire ring,expansion,9900,HIGH,100,0.75,2.96,gemstone
morganite engagement ring,expansion,9900,HIGH,100,0.91,3.9,gemstone
blue topaz ring,expansion,9900,HIGH,100,0.52,2.65,gemstone
alexandrite engagement ring,expansion,9900,HIGH,100,0.94,3.45,gemstone
sapphire and diamond ring,expansion,9900,HIGH,100,0.89,3.57,gemstone
