keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
amber teething necklace,amber_core,12100,HIGH,100,0.31,1.57,amber_general
infant amber teething necklace,amber_core,12100,HIGH,100,0.31,1.57,amber_general
amber necklace and teething,amber_core,12100,HIGH,100,0.31,1.57,amber_general
amber beads for teething,amber_core,12100,HIGH,100,0.31,1.57,amber_types
amber jewelry,amber_core,8100,HIGH,100,0.28,2.03,amber_general
amber jewellery,amber_core,8100,HIGH,100,0.28,2.03,amber_types
baltic amber jewelry,amber_core,6600,HIGH,75,0.29,1.11,amber_general
teething necklace,amber_core,6600,HIGH,100,0.3,1.67,amber_general
natural amber jewelry,amber_core,6600,HIGH,75,0.29,1.11,amber_general
amber with fossil,amber_core,5400,HIGH,72,0.17,0.68,amber_general
baltic amber,amber_core,5400,HIGH,95,0.37,2.49,amber_colors
amber necklace,amber_core,4400,HIGH,100,0.36,1.61,amber_general
necklace with amber,amber_core,4400,HIGH,100,0.36,1.61,amber_general
amer jewelry,amber_core,3600,HIGH,97,0.96,4.96,amber_general
cherry amber,amber_core,3600,LOW,6,0.08,0.66,amber_types
green amber,amber_core,3600,LOW,28,0.09,0.72,amber_colors
blue amber,amber_core,2900,HIGH,76,0.22,1.08,amber_colors
necklaces for infants,amber_core,2400,HIGH,100,0.4,1.27,amber_general
amber ring,amber_core,1900,HIGH,100,0.25,1.16,amber_general
baltic amber necklace,amber_core,1900,HIGH,100,0.59,2.57,amber_general
natural amber necklace,amber_core,1900,HIGH,100,0.59,2.57,amber_general
ring amber,amber_core,1900,HIGH,100,0.25,1.16,amber_general
ring with amber,amber_core,1900,HIGH,100,0.25,1.16,amber_general
amber bracelet,amber_core,1300,HIGH,100,0.27,1.05,amber_general
amber earrings,amber_core,1300,HIGH,100,0.27,1.26,amber_general
infant amber necklace,amber_core,1300,HIGH,100,0.34,1.56,amber_general
amber necklace for newborn,amber_core,1300,HIGH,100,0.34,1.56,amber_general
amber necklace newborn,amber_core,1300,HIGH,100,0.34,1.56,amber_general
bracelet amber,amber_core,1300,HIGH,100,0.27,1.05,amber_general
infant teething necklace,amber_core,1000,HIGH,100,0.27,1.51,amber_general
amber in jewelry,amber_core,1000,HIGH,88,0.0,0.0,amber_general
amber prices,amber_core,1000,LOW,11,0.0,0.0,amber_general
amber beads,amber_core,1000,HIGH,100,0.2,1.02,amber_types
price amber,amber_core,1000,LOW,11,0.0,0.0,amber_types
amber stone jewelry,amber_core,880,HIGH,100,0.31,1.08,amber_general
polish amber jewelry,amber_core,880,HIGH,100,0.24,0.74,amber_general
antique amber earrings,amber_core,880,MEDIUM,40,0.0,0.0,amber_general
amber gemstone jewelry,amber_core,880,HIGH,100,0.31,1.08,amber_general
amber raw,amber_core,880,HIGH,95,0.17,0.9,amber_general
jewelry amber stone,amber_core,880,HIGH,100,0.31,1.08,amber_general
vintage amber pendant,amber_core,880,MEDIUM,59,0.02,0.81,amber_general
amber stone jewellery,amber_core,880,HIGH,100,0.31,1.08,amber_types
dominican amber,amber_core,880,HIGH,73,0.22,0.83,amber_colors
polish amber jewellery,amber_core,880,HIGH,100,0.24,0.74,silver_amber
