keyword,us_volume,competition,comp_index
jewelry james avery,1000000,MEDIUM,57
birthstones,301000,HIGH,100
birthstone stones,301000,HIGH,100
stones birthstones,301000,HIGH,100
december birthstone,246000,HIGH,99
october birthstone,246000,HIGH,96
june birthstone,246000,HIGH,100
dec birthstone,246000,HIGH,99
june stone birthstone,246000,HIGH,100
december stone birthstone,246000,HIGH,99
october stone birthstone,246000,HIGH,96
birthstone for the month of june,246000,HIGH,100
august birthstone,201000,HIGH,100
november birthstone,201000,HIGH,100
march birthstone,201000,HIGH,99
moissanites,201000,HIGH,100
march stone birthstone,201000,HIGH,99
sterling silver jewerly,201000,HIGH,94
august stone birthstone,201000,HIGH,100
moissanite,201000,HIGH,100
stone for november birthstone,201000,HIGH,100
month of august birthstone,201000,HIGH,100
september birthstone,165000,HIGH,98
january birthstone,165000,HIGH,97
amethyst jewellery,165000,MEDIUM,62
garnet jewellery,165000,MEDIUM,54
january stone birthstone,165000,HIGH,97
sep birthstone,165000,HIGH,98
jan birthstone,165000,HIGH,97
birthstones by month january,165000,HIGH,97
birthstone sept,165000,HIGH,98
february birthstone,135000,HIGH,98
may birthstone,135000,HIGH,99
july birthstone,135000,HIGH,99
emerald jewellery,135000,HIGH,68
opal jewellery,135000,HIGH,95
aquamarine jewellery,135000,MEDIUM,49
peridot jewellery,135000,MEDIUM,34
feb birthstone,135000,HIGH,98
garnet birthstone,135000,LOW,20
may stone birthstone,135000,HIGH,99
july stone birthstone,135000,HIGH,99
garnet stone birthstone,135000,LOW,20
turquoise jewelry,135000,HIGH,100
april birthstone,110000,HIGH,82
ruby jewellery,110000,HIGH,77
sapphire jewellery,110000,MEDIUM,59
citrine jewellery,110000,HIGH,79
birthstones for the months,110000,HIGH,100
citrine jewelry,110000,HIGH,79
citrine jewel,110000,HIGH,79
sterling silver rings,74000,HIGH,100
lapis lazuli jewellery,74000,HIGH,100
tiffany's and co bracelet,74000,HIGH,100
claddagh rings,74000,HIGH,100
sterling rings,74000,HIGH,100
opal birthstone,60500,MEDIUM,50
topaz jewellery,60500,MEDIUM,46
emerald cut emerald engagement rings,60500,HIGH,100
opal stone birthstone,60500,MEDIUM,50
swarovski necklaces,60500,HIGH,100
sterling silver,49500,HIGH,90
tanzanite jewellery,49500,HIGH,100
sterling silver promise rings,49500,LOW,12
james avery ring,49500,HIGH,100
pandora sterling silver bracelet,49500,HIGH,81
aquamarine stone birthstone,49500,MEDIUM,63
birthstones aquamarine,49500,MEDIUM,63
handmade jewelry,40500,HIGH,91
emerald ring,40500,HIGH,100
sapphire engagement rings,40500,HIGH,100
silver chain,40500,HIGH,100
sapphire ring,40500,HIGH,100
birthstone rings,40500,HIGH,100
sterling silver necklace,40500,HIGH,100
sterling silver bracelets,40500,HIGH,100
