keyword,us_volume,competition,comp_index
jewelry james avery,1000000,MEDIUM,57
james avery ring,49500,HIGH,100
handmade jewelry,40500,HIGH,91
handcrafted jewellery,27100,LOW,18
handcrafted jewelry,27100,LOW,18
artisan jewellery,18100,HIGH,100
artisan jewelry,18100,HIGH,100
handmade bracelets,6600,HIGH,100
hand made bracelets,6600,HIGH,100
handmade hand bracelet,6600,HIGH,100
etsy handmade jewelry,5400,HIGH,100
handmade etsy jewelry,5400,HIGH,100
jamesavery earrings,5400,HIGH,100
sterling silver handmade jewelry,3600,MEDIUM,33
handmade sterling jewelry,3600,MEDIUM,33
handmade engagement rings,2900,HIGH,100
handmade wedding rings,2900,HIGH,100
handmade beaded bracelets,2900,HIGH,100
handmade wedding bands,2900,HIGH,100
handmade fine jewelry,2900,MEDIUM,54
handcrafted wedding rings,2900,HIGH,100
handcrafted fine jewelry,2900,MEDIUM,54
handcrafted wedding bands,2900,HIGH,100
handmade bracelets beaded,2900,HIGH,100
beaded bracelet handmade,2900,HIGH,100
beaded handmade bracelets,2900,HIGH,100
bracelets beaded handmade,2900,HIGH,100
handcrafted beaded bracelets,2900,HIGH,100
handmade earrings,1900,HIGH,100
handmade stamped jewelry,1900,HIGH,100
mimosahandcrafted,1900,LOW,19
handmade rings,1600,HIGH,100
james avery artisan,1600,HIGH,95
handmade jewelry near me,1300,HIGH,100
unique handmade jewelry,1300,HIGH,100
handcrafted engagement rings,1300,HIGH,100
handmade cuban link chain,1300,HIGH,100
unique jewelry handmade,1300,HIGH,100
unique handcrafted jewelry,1300,HIGH,100
handmade jewelry unique,1300,HIGH,100
handmade silver jewllery,1300,HIGH,100
silver jewellery hand made,1300,HIGH,100
handmade string bracelets,1000,HIGH,93
friendship bracelet handmade,1000,HIGH,93
jewelry artisans,1000,MEDIUM,59
handmade necklace,880,HIGH,100
homemade bracelets,880,HIGH,90
handmade beaded jewelry,880,HIGH,93
handmade jewelry designers,880,HIGH,73
beaded jewelry handmade,880,HIGH,93
handcrafted designer jewellery,880,HIGH,73
handcrafted fashion jewelry,880,LOW,0
handmade engraved jewelry,880,HIGH,89
jewelry designer handmade,880,HIGH,73
la artisan jewelry,880,LOW,23
homemade jewelry,720,HIGH,87
handcrafted earrings,720,HIGH,98
handmade native american jewelry,720,HIGH,98
handmade copper jewelry,720,MEDIUM,63
copper jewelry handmade,720,MEDIUM,63
handcrafted copper jewelry,720,MEDIUM,63
handcrafted native american jewelry,720,HIGH,98
handmade american indian jewelry,720,HIGH,98
homemade earrings,590,HIGH,97
handmade turquoise jewelry,590,HIGH,100
etsy earrings handmade,590,HIGH,99
hand crafted bracelets,590,LOW,16
handmade beaded necklace,590,HIGH,100
artisan jewellery near me,590,HIGH,100
handmade copper bracelet,590,HIGH,70
artisanal jewelry near me,590,HIGH,100
handcrafted beaded necklace,590,HIGH,100
handcrafted copper bracelets,590,HIGH,70
handcrafted turquoise jewelry,590,HIGH,100
home made ear rings,590,HIGH,97
homemade bead necklace,590,HIGH,100
turquoise handcrafted jewelry,590,HIGH,100
turquoise jewelry handmade,590,HIGH,100
artisan jewelry near me,590,HIGH,100
handcrafted rings,480,HIGH,99
handmade beaded earrings,480,HIGH,100
handmade mens jewelry,480,HIGH,100
handcrafted mens jewelry,480,HIGH,100
beads earrings handmade,480,HIGH,100
men's handcrafted jewelry,480,HIGH,100
beaded handmade earrings,480,HIGH,100
handcrafted beaded earrings,480,HIGH,100
handcrafted mens jewellery,480,HIGH,100
handmade earrings beads,480,HIGH,100
mens handcrafted jewelry,480,HIGH,100
james avery artisan jewelry near me,480,LOW,10
handcrafted rings jewelry,480,HIGH,99
james avery jewelry owner,480,LOW,0
james avery jewelry stores,480,HIGH,94
handmade gemstone jewelry,390,HIGH,100
handmade silver rings,390,HIGH,100
handmade gold jewelry,390,HIGH,100
handcrafted silver rings,390,HIGH,100
hand made gold jewelry,390,HIGH,100
handmade western jewelry,390,HIGH,100
handcrafted gold jewelry,390,HIGH,100
handmade gemstone earrings,390,HIGH,76
handmade gem jewelry,390,HIGH,100
handmade hand chain,390,LOW,0
handmade ring silver,390,HIGH,100
handmade shark tooth necklace,390,HIGH,100
handmade silver ring,390,HIGH,100
hand made jewelry near me,320,HIGH,100
handcrafted jewelry near me,320,HIGH,100
handmade sterling silver rings,320,HIGH,100
handmade mens wedding bands,320,HIGH,100
handcrafted mens wedding bands,320,HIGH,100
handmade boho jewelry,320,HIGH,100
handmade mens wedding rings,320,HIGH,100
fine artisan jewelry,320,HIGH,99
handmade glass bead bracelets,320,HIGH,88
handmade jewelry business,320,LOW,6
handmade jewelry stores,320,LOW,21
handcrafted sterling silver rings,320,HIGH,100
handmade jewelry shop,320,LOW,21
handmade shell necklace,320,HIGH,100
boho jewelry handmade,320,HIGH,100
handcrafted mens wedding rings,320,HIGH,100
handmade glass bead earrings,320,LOW,33
handmade seashell necklace,320,HIGH,100
handmade sterling rings,320,HIGH,100
handmade wedding rings for men,320,HIGH,100
homemade jewellery business,320,LOW,6
shop handmade jewelry,320,LOW,21
artisan fine jewelry,320,HIGH,99
genuine indian handcrafted sterling silver,320,MEDIUM,43
artisan glass beads,320,HIGH,99
handmade silver earrings,260,HIGH,100
artisan earrings,260,HIGH,100
top handmade jewelry websites,260,HIGH,100
handmade mens leather bracelet,260,HIGH,100
handmade mens rings,260,HIGH,100
handmade sterling silver earrings,260,HIGH,92
handmade beads,260,HIGH,100
handmade mens bracelets,260,HIGH,100
handmade cross necklace,260,HIGH,100
handcrafted mens rings,260,HIGH,100
homemade necklace,260,HIGH,93
handmade hawaiian jewelry,260,HIGH,99
handmade miami cuban link chain,260,MEDIUM,62
handcrafted gemstone jewellery,260,HIGH,100
handmade diamond jewelry,260,MEDIUM,56
mens handcrafted rings,260,HIGH,100
handcrafted sterling silver earrings,260,HIGH,92
handcrafted necklace,260,HIGH,100
handmade leather bracelets for guys,260,HIGH,100
handmade wire jewelry,260,HIGH,98
handcrafted silver earrings,260,HIGH,100
handmade bracelets for guys,260,HIGH,100
handmade charm bracelets,260,HIGH,100
handmade spoon rings,260,HIGH,100
handmade earrings silver,260,HIGH,100
handmade navajo pearls,260,HIGH,100
handmade cross pendant,260,HIGH,100
handmade amethyst earrings,260,MEDIUM,34
beads handmade,260,HIGH,100
earrings handmade silver,260,HIGH,100
handcraft wire jewelry,260,HIGH,98
handcrafted cross necklace,260,HIGH,100
handcrafted diamond jewelry,260,MEDIUM,56
handcrafted men's bracelets,260,HIGH,100
handcrafted wire wrapped jewelry,260,HIGH,98
handmade jewelry gemstones,260,HIGH,100
handmade leather bracelet mens,260,HIGH,100
handmade mens leather bracelets,260,HIGH,100
handmade sterling earrings,260,HIGH,92
handmade turquoise necklace,260,HIGH,100
handmade wire wrap jewelry,260,HIGH,98
mens leather bracelet handmade,260,HIGH,100
sunwest handmade,260,LOW,3
artisan necklace,260,HIGH,99
artisan crafted jewelry,260,HIGH,94
handmade cross necklaces,260,HIGH,100
handmade wire wrapped jewelry,260,HIGH,98
handmade jewelry websites,210,HIGH,100
handmade crystal jewelry,210,HIGH,93
handmade african jewelry,210,HIGH,100
handcrafted jewelry websites,210,HIGH,100
handmade indian jewelry,210,HIGH,100
handmade leather bracelets,210,HIGH,100
handmade silver chain,210,HIGH,97
handmade silver hoop earrings,210,HIGH,90
handmade artisan jewelry,210,HIGH,100
women's handmade jewelry,210,HIGH,99
handmade turquoise earrings,210,HIGH,100
women's handcrafted jewelry,210,HIGH,99
handmade silver cuff bracelet,210,HIGH,75
handmade dangle earrings,210,HIGH,100
women handmade jewelry,210,HIGH,99
handmade gothic jewelry,210,HIGH,99
handmade polymer clay earrings,210,HIGH,100
handmade minimalist jewelry,210,LOW,2
artisanal rings,210,HIGH,100
handmade rings for women,210,HIGH,100
etsy handmade bracelets,210,MEDIUM,47
handmade waist beads,210,LOW,24
handmade jewelry sites,210,HIGH,100
handmade amethyst necklace,210,MEDIUM,56
handcrafted african jewelry,210,HIGH,100
handcrafted beaded jewelry,210,HIGH,74
handcrafted crystal jewelry,210,HIGH,93
handcrafted leather bracelet,210,HIGH,100
handmade fashion jewellery,210,MEDIUM,55
handmade glass ring,210,LOW,33
handmade jade necklace,210,LOW,32
handmade jewelry women,210,HIGH,99
handmade polymer clay jewellery,210,HIGH,68
handmade seashell jewelry,210,HIGH,100
handmade shell jewellery,210,HIGH,100
handmade statement jewellery,210,MEDIUM,38
handmade sterling silver chain,210,HIGH,100
handmade women's rings,210,HIGH,100
leather bracelet handmade,210,HIGH,100
women hand made jewellery,210,HIGH,99
women's hand made jewellery,210,HIGH,99
artisan ring,210,HIGH,100
handmade jewelry for women,210,HIGH,99
unique sterling silver bracelets,210,HIGH,100
ring artisan,210,HIGH,100
artisan pendants,210,MEDIUM,51
handmade dangling earrings,210,HIGH,100
handmade silver bracelets,170,HIGH,100
unique handmade earrings,170,HIGH,100
handmade gold rings,170,HIGH,100
handcrafted artisan jewelry,170,MEDIUM,62
handmade pearl earrings,170,HIGH,100
handmade clay earrings,170,HIGH,98
handmade sea glass jewelry,170,HIGH,100
handmade leather earrings,170,HIGH,100
custom handmade jewelry,170,HIGH,82
handmade turquoise rings,170,HIGH,98
handmade mexican bracelets,170,HIGH,100
handcrafted gold rings,170,HIGH,100
handcrafted silver bracelets,170,HIGH,100
handmade evil eye bracelet,170,HIGH,87
handmade personalized jewelry,170,HIGH,100
handmade personalised jewellery,170,HIGH,100
handmade wire earrings,170,HIGH,100
handmade wood earrings,170,HIGH,99
affordable handmade jewelry,170,LOW,19
custom handcrafted jewelry,170,HIGH,82
gold ring handmade,170,HIGH,100
handcrafted clay earrings,170,HIGH,98
handcrafted custom jewelry,170,HIGH,82
handcrafted luxury jewelry,170,HIGH,100
handcrafted pearl earrings,170,HIGH,100
handcrafted wooden earrings,170,HIGH,99
handmade bracelet silver,170,HIGH,100
handmade earrings with pearls,170,HIGH,100
handmade evil eye bracelets,170,HIGH,87
handmade israeli jewelry,170,HIGH,100
handmade puerto rican jewelry,170,HIGH,75
handmade unique earrings,170,HIGH,100
handmade wire bracelet,170,HIGH,98
leather handmade earrings,170,HIGH,100
mimosa handcrafted jewelry,170,HIGH,83
pearl earrings handmade,170,HIGH,100
pearl handmade earrings,170,HIGH,100
wire earrings handmade,170,HIGH,100
wooden handmade earrings,170,HIGH,99
handmade bracelets silver,170,HIGH,100
handmade ring,140,HIGH,99
handmade gemstone ring,140,HIGH,99
handmade gold earrings,140,HIGH,100
handmade diamond ring,140,HIGH,100
handmade greek jewelry,140,HIGH,88
handmade earrings near me,140,HIGH,98
handmade rings with stones,140,HIGH,99
handmade bohemian jewelry,140,HIGH,78
handmade hoop earrings,140,HIGH,100
tibetan knot bracelet,140,HIGH,100
handmade wooden jewelry,140,HIGH,99
handmade glass bead necklaces,140,HIGH,100
hand woven bracelets,140,HIGH,100
handmade glass jewelry,140,HIGH,97
handmade chain necklace,140,HIGH,94
handmade wooden rings,140,HIGH,100
handcrafted gold earrings,140,HIGH,100
handmade glass pendants,140,HIGH,100
homemade jewelry for sale,140,LOW,16
handmade leather jewelry,140,HIGH,68
handmade copper earrings,140,HIGH,100
luxury handmade jewelry,140,HIGH,98
handmade ceramic beads,140,HIGH,99
handmade body jewelry,140,HIGH,76
